fold,sample_index,tissue_label,class_id,split
2,584,Breast,3,train
1,751,Colon,5,train
3,609,Breast,3,train
2,553,Breast,3,train
1,391,Breast,3,train
3,2323,Pancreatic,12,train
1,43,Breast,3,train
2,1860,HeadNeck,7,train
1,198,Breast,3,train
3,393,Breast,3,train
3,2167,Liver,9,train
3,1600,Bladder,2,train
3,787,Colon,5,test
3,602,Breast,3,val
3,22,Breast,3,train
3,2543,Uterus,18,train
2,1909,HeadNeck,7,train
2,2290,Skin,14,val
3,1768,Colon,5,train
1,11,Breast,3,train
2,1675,Colon,5,train
2,652,Breast,3,val
1,1673,Bladder,2,test
2,1378,Adrenal_gland,0,train
3,1781,Colon,5,train
3,1385,Colon,5,train
1,1829,Colon,5,train
2,2049,Liver,9,train
2,657,Breast,3,train
2,417,Breast,3,train
1,2033,Colon,5,test
3,1572,Bladder,2,train
2,1240,Testis,16,val
2,561,Breast,3,train
2,1055,Adrenal_gland,0,train
1,965,Colon,5,train
3,2058,HeadNeck,7,train
1,1339,Cervix,4,test
2,1109,Adrenal_gland,0,train
3,44,Breast,3,train
1,1259,Esophagus,6,train
3,2360,Prostate,13,train
3,1075,Esophagus,6,val
1,2006,Colon,5,val
2,1305,Colon,5,train
3,2257,Lung,10,val
1,2350,Pancreatic,12,train
2,294,Breast,3,train
1,443,Breast,3,train
2,935,Thyroid,17,test
3,1537,Bile-duct,1,train
3,1706,Colon,5,train
2,2251,Skin,14,val
3,2539,Uterus,18,train
1,1473,Bile-duct,1,test
1,860,Colon,5,train
1,1122,Esophagus,6,train
3,1227,Cervix,4,train
1,2307,Ovarian,11,train
1,514,Breast,3,train
1,1913,Colon,5,train
1,300,Breast,3,train
1,958,Kidney,8,train
2,140,Breast,3,train
3,87,Breast,3,train
3,2210,Liver,9,test
1,384,Breast,3,train
3,1172,Esophagus,6,train
3,601,Breast,3,train
3,1593,Bladder,2,test
1,2128,HeadNeck,7,train
3,2153,Kidney,8,test
3,2194,Liver,9,train
3,967,Uterus,18,train
1,1118,Esophagus,6,train
1,1935,Colon,5,train
2,974,Thyroid,17,val
1,2076,Esophagus,6,train
1,2569,Thyroid,17,test
2,183,Breast,3,train
1,2085,Esophagus,6,train
2,947,Thyroid,17,test
2,130,Breast,3,train
2,172,Breast,3,train
2,1588,Colon,5,train
2,216,Breast,3,train
3,2315,Pancreatic,12,test
3,2143,Kidney,8,test
1,808,Colon,5,train
2,2336,Stomach,15,test
2,1330,Colon,5,train
3,2217,Liver,9,train
1,225,Breast,3,train
2,2189,Pancreatic,12,val
1,806,Colon,5,train
1,1018,Pancreatic,12,val
1,122,Breast,3,train
1,982,Esophagus,6,train
3,2463,Testis,16,train
1,442,Breast,3,train
2,809,Kidney,8,test
2,958,Skin,14,test
3,166,Breast,3,train
1,147,Breast,3,train
1,538,Breast,3,train
1,1746,Breast,3,train
2,580,Breast,3,train
3,1587,Bladder,2,test
2,1682,Colon,5,train
3,899,Esophagus,6,train
3,588,Breast,3,train
2,444,Breast,3,train
2,2095,Liver,9,train
1,1963,Colon,5,train
2,2047,Liver,9,train
2,913,Lung,10,test
1,2415,Skin,14,train
2,478,Breast,3,train
2,1484,Bladder,2,val
3,2720,Colon,5,train
3,1492,Bile-duct,1,train
2,1492,Bladder,2,test
2,1964,HeadNeck,7,val
1,1524,Adrenal_gland,0,train
1,1822,Colon,5,train
2,2297,Skin,14,train
2,2075,Liver,9,train
2,50,Breast,3,train
3,610,Breast,3,train
1,729,Breast,3,train
3,88,Breast,3,train
3,2038,HeadNeck,7,train
2,1130,Pancreatic,12,val
3,1372,Colon,5,train
3,1,Breast,3,train
2,2040,Kidney,8,test
1,878,Lung,10,train
3,1479,Bile-duct,1,train
3,585,Breast,3,train
2,1632,Colon,5,train
3,1594,Bladder,2,val
2,2032,Kidney,8,val
2,461,Breast,3,train
3,566,Breast,3,train
2,2076,Liver,9,train
1,2414,Skin,14,test
2,1422,Bile-duct,1,train
3,244,Breast,3,train
1,1783,Cervix,4,train
2,683,Colon,5,train
3,2705,Colon,5,train
2,742,Colon,5,train
2,1444,Bile-duct,1,train
1,1434,Testis,16,train
1,2514,Testis,16,train
2,135,Breast,3,train
2,501,Breast,3,train
2,415,Breast,3,train
1,1532,Adrenal_gland,0,train
3,172,Breast,3,train
3,2301,Ovarian,11,val
2,2235,Prostate,13,train
1,1887,Colon,5,train
3,734,Colon,5,train
3,928,Esophagus,6,train
3,569,Breast,3,train
2,1176,Cervix,4,train
1,1723,Breast,3,train
1,2440,Skin,14,train
1,1267,Adrenal_gland,0,train
1,1269,Adrenal_gland,0,train
3,1231,Cervix,4,train
3,1169,Esophagus,6,train
3,2677,Colon,5,train
3,730,Colon,5,train
3,453,Breast,3,train
1,2052,Colon,5,train
2,1650,Colon,5,train
2,2410,Thyroid,17,train
1,975,Ovarian,11,val
1,1463,Bile-duct,1,train
3,1810,Colon,5,train
1,33,Breast,3,train
1,2596,Colon,5,train
3,1138,Adrenal_gland,0,train
2,2102,Liver,9,test
2,1513,Breast,3,train
1,1026,Lung,10,val
1,1132,Esophagus,6,train
2,1054,Adrenal_gland,0,test
1,504,Breast,3,train
1,607,Breast,3,train
3,554,Breast,3,train
2,1427,Bile-duct,1,val
2,31,Breast,3,train
1,797,Colon,5,train
2,1799,Colon,5,train
3,320,Breast,3,train
2,752,Colon,5,train
1,2036,Colon,5,train
3,559,Breast,3,train
2,2333,Stomach,15,train
1,173,Breast,3,train
2,2113,Lung,10,train
2,2203,Pancreatic,12,val
3,1899,Colon,5,train
3,2222,Liver,9,train
2,331,Breast,3,train
1,2109,HeadNeck,7,train
1,956,Kidney,8,val
3,276,Breast,3,train
1,374,Breast,3,train
1,1056,Lung,10,train
3,829,Lung,10,val
2,719,Colon,5,train
2,86,Breast,3,train
3,1451,Adrenal_gland,0,train
1,1832,Colon,5,train
3,1039,Thyroid,17,train
3,675,Breast,3,train
3,2615,Uterus,18,test
1,2560,Thyroid,17,test
3,747,Colon,5,train
3,2388,Skin,14,train
3,2622,Uterus,18,train
3,326,Breast,3,train
3,426,Breast,3,train
1,2167,HeadNeck,7,train
1,1247,Esophagus,6,train
3,2352,Prostate,13,train
1,832,Colon,5,train
2,665,Breast,3,train
2,998,Esophagus,6,train
1,500,Breast,3,train
1,536,Breast,3,train
3,1611,Breast,3,train
1,2428,Skin,14,test
3,1455,Adrenal_gland,0,train
1,482,Breast,3,train
2,263,Breast,3,train
2,986,Thyroid,17,train
3,2078,HeadNeck,7,train
3,2259,Lung,10,test
2,544,Breast,3,train
2,1637,Colon,5,train
3,2434,Stomach,15,test
2,2152,Pancreatic,12,train
3,2670,Colon,5,train
2,1041,Adrenal_gland,0,train
3,2255,Liver,9,train
2,2216,Prostate,13,test
2,2406,Thyroid,17,train
2,213,Breast,3,train
1,462,Breast,3,train
2,1133,Pancreatic,12,train
3,507,Breast,3,train
1,1288,Pancreatic,12,val
3,2581,Uterus,18,val
1,1803,Cervix,4,train
1,287,Breast,3,train
1,665,Breast,3,train
2,2272,Skin,14,train
3,833,Breast,3,train
3,253,Breast,3,train
2,2119,Ovarian,11,train
1,499,Breast,3,train
2,2008,HeadNeck,7,train
2,2415,Thyroid,17,val
3,1435,Adrenal_gland,0,train
1,1637,Bile-duct,1,train
1,1758,Cervix,4,train
1,671,Breast,3,train
2,1216,Testis,16,train
2,628,Breast,3,train
1,2360,Prostate,13,val
3,2137,Kidney,8,test
2,79,Breast,3,train
1,1047,Lung,10,val
2,1342,Adrenal_gland,0,train
1,546,Breast,3,train
2,1962,HeadNeck,7,train
1,2393,Prostate,13,test
3,358,Breast,3,train
1,416,Breast,3,train
2,897,Lung,10,train
3,163,Breast,3,train
3,1278,Bile-duct,1,train
2,1026,Cervix,4,train
2,859,Stomach,15,train
1,1058,Lung,10,test
1,1301,Pancreatic,12,test
3,1027,Cervix,4,test
1,179,Breast,3,train
2,2462,Colon,5,train
1,1428,Testis,16,train
1,246,Breast,3,train
1,1340,Cervix,4,train
1,2635,Colon,5,train
1,850,Colon,5,train
2,2157,Pancreatic,12,test
2,1911,HeadNeck,7,train
3,2504,Thyroid,17,train
1,2585,Uterus,18,train
3,82,Breast,3,train
1,882,Lung,10,train
1,2068,Esophagus,6,train
1,1333,Cervix,4,val
3,2208,Liver,9,train
2,88,Breast,3,train
1,415,Breast,3,train
2,2175,Pancreatic,12,val
1,780,Colon,5,train
2,1208,Bile-duct,1,train
3,811,Colon,5,train
2,2263,Skin,14,val
1,1950,Colon,5,train
3,2196,Liver,9,val
3,2479,Testis,16,train
2,887,Esophagus,6,train
2,1589,Colon,5,train
1,2533,Testis,16,train
1,711,Breast,3,train
1,1077,Thyroid,17,train
3,328,Breast,3,train
3,271,Breast,3,train
3,1402,Adrenal_gland,0,train
2,1255,Testis,16,test
1,2177,Kidney,8,train
2,1125,Pancreatic,12,train
1,835,Colon,5,train
1,1452,Bile-duct,1,train
2,2289,Skin,14,train
3,2291,Ovarian,11,test
2,1078,Esophagus,6,train
1,2201,Liver,9,test
3,1311,Testis,16,val
3,96,Breast,3,train
2,1875,HeadNeck,7,train
3,2631,Uterus,18,val
3,414,Breast,3,train
1,2002,Colon,5,train
1,2426,Skin,14,train
1,2070,Esophagus,6,train
2,1961,HeadNeck,7,val
3,2496,Thyroid,17,val
1,1765,Cervix,4,train
1,2000,Colon,5,train
2,1980,HeadNeck,7,train
3,526,Breast,3,train
3,825,Lung,10,train
2,1745,Colon,5,train
1,344,Breast,3,train
3,149,Breast,3,train
2,1581,Colon,5,train
3,199,Breast,3,train
2,1381,Adrenal_gland,0,test
2,1012,Esophagus,6,train
3,856,Breast,3,train
2,602,Breast,3,train
3,12,Breast,3,train
2,2324,Stomach,15,test
1,872,Lung,10,train
3,1053,Esophagus,6,train
2,753,Colon,5,train
2,179,Breast,3,train
2,1390,Adrenal_gland,0,train
2,1301,Colon,5,train
3,2408,Skin,14,test
3,2633,Uterus,18,train
3,496,Breast,3,train
3,1613,Breast,3,train
1,1591,Bile-duct,1,train
1,2476,Stomach,15,train
3,2289,Ovarian,11,val
3,176,Breast,3,train
1,2203,Liver,9,train
3,81,Breast,3,train
1,1009,Esophagus,6,train
1,795,Colon,5,train
3,1407,Adrenal_gland,0,train
2,2348,Stomach,15,val
1,357,Breast,3,train
3,55,Breast,3,train
1,26,Breast,3,train
2,1820,Esophagus,6,train
1,2537,Thyroid,17,train
3,2645,Colon,5,train
1,1344,Cervix,4,train
3,53,Breast,3,train
1,2137,HeadNeck,7,train
1,137,Breast,3,train
1,1069,Thyroid,17,train
3,214,Breast,3,train
3,1334,Bile-duct,1,train
3,872,Prostate,13,val
2,1789,Colon,5,train
2,1746,Colon,5,train
2,1142,Pancreatic,12,train
2,1310,Colon,5,train
3,595,Breast,3,train
3,2377,Skin,14,train
1,2449,Skin,14,train
3,1735,Colon,5,train
2,2438,Colon,5,train
1,2272,Ovarian,11,train
1,582,Breast,3,train
2,1517,Breast,3,train
3,304,Breast,3,train
1,2421,Skin,14,train
3,516,Breast,3,train
3,1326,Bile-duct,1,train
3,1839,Colon,5,train
2,682,Colon,5,train
3,1038,Thyroid,17,train
1,2305,Ovarian,11,test
3,2542,Uterus,18,train
2,943,Thyroid,17,val
1,1110,Thyroid,17,val
3,2678,Colon,5,train
1,1234,Esophagus,6,test
3,2466,Testis,16,train
2,828,Bladder,2,train
2,222,Breast,3,train
2,468,Breast,3,train
2,521,Breast,3,train
2,1944,HeadNeck,7,test
3,355,Breast,3,train
3,2199,Liver,9,train
3,738,Colon,5,train
1,1459,Bile-duct,1,train
2,2093,Liver,9,train
1,1037,Lung,10,val
2,1206,Bile-duct,1,train
2,1530,Breast,3,train
2,202,Breast,3,train
3,1438,Adrenal_gland,0,train
3,1765,Colon,5,train
1,2608,Colon,5,train
1,1853,Colon,5,train
2,1002,Esophagus,6,train
1,314,Breast,3,train
3,2179,Liver,9,train
2,368,Breast,3,train
1,182,Breast,3,train
2,2052,Liver,9,train
3,938,Lung,10,val
2,740,Colon,5,train
1,866,Colon,5,train
2,1992,HeadNeck,7,train
1,1010,Esophagus,6,train
3,1261,Bile-duct,1,train
2,2412,Thyroid,17,train
1,535,Breast,3,train
3,264,Breast,3,train
1,83,Breast,3,train
2,1809,Colon,5,train
1,2654,Colon,5,train
3,475,Breast,3,train
2,1100,Esophagus,6,train
2,995,Esophagus,6,train
2,858,Stomach,15,val
1,1789,Cervix,4,train
2,1058,Adrenal_gland,0,test
1,2394,Prostate,13,train
2,1368,Adrenal_gland,0,train
3,2566,Uterus,18,train
1,559,Breast,3,train
1,886,Lung,10,val
3,1384,Colon,5,train
3,781,Colon,5,train
3,1212,Adrenal_gland,0,train
1,2573,Thyroid,17,test
3,79,Breast,3,val
3,2057,HeadNeck,7,val
1,1862,Colon,5,train
3,186,Breast,3,train
3,1605,Bladder,2,train
2,1061,Adrenal_gland,0,train
1,2523,Testis,16,val
3,1837,Colon,5,train
3,2006,HeadNeck,7,train
2,1712,Colon,5,train
2,853,Colon,5,train
3,704,Breast,3,train
1,1510,Colon,5,train
1,1302,Pancreatic,12,train
3,547,Breast,3,train
3,2700,Colon,5,train
3,1846,Colon,5,train
3,937,Lung,10,train
2,2156,Pancreatic,12,test
1,1828,Colon,5,train
2,1163,Adrenal_gland,0,train
2,2470,Colon,5,train
2,2331,Stomach,15,test
3,29,Breast,3,train
2,1613,Colon,5,train
1,727,Breast,3,train
1,380,Breast,3,train
1,1926,Colon,5,train
3,69,Breast,3,train
2,1151,Adrenal_gland,0,train
1,1349,Cervix,4,train
2,63,Breast,3,train
3,2482,Testis,16,test
1,1400,Bile-duct,1,val
1,239,Breast,3,train
3,471,Breast,3,train
1,408,Breast,3,train
3,2031,HeadNeck,7,train
1,929,Breast,3,train
3,931,Lung,10,train
2,1817,Esophagus,6,val
2,1263,Testis,16,val
1,63,Breast,3,train
2,975,Thyroid,17,train
2,1122,Adrenal_gland,0,train
1,1479,Colon,5,train
2,1182,Cervix,4,train
3,1284,Bile-duct,1,train
2,985,Thyroid,17,train
3,2095,HeadNeck,7,train
3,1680,Cervix,4,val
3,388,Breast,3,train
3,2055,HeadNeck,7,train
3,1365,Colon,5,train
3,1506,Bile-duct,1,train
2,2380,Testis,16,val
3,1264,Bile-duct,1,train
2,803,Kidney,8,test
2,1741,Colon,5,train
2,1952,HeadNeck,7,test
1,970,Ovarian,11,train
3,1041,Thyroid,17,train
3,722,Colon,5,train
2,1969,HeadNeck,7,test
1,1603,Bile-duct,1,train
3,221,Breast,3,train
1,1525,Adrenal_gland,0,val
1,2196,Liver,9,train
1,2404,Prostate,13,train
1,903,Breast,3,train
3,683,Breast,3,train
3,859,Breast,3,train
3,714,Colon,5,train
3,670,Breast,3,train
3,2287,Ovarian,11,train
1,2069,Esophagus,6,train
3,1184,Esophagus,6,train
3,1040,Thyroid,17,test
2,2000,HeadNeck,7,test
1,1721,Breast,3,train
1,691,Breast,3,train
3,396,Breast,3,val
2,2308,Skin,14,train
3,2454,Stomach,15,train
1,259,Breast,3,train
1,734,Breast,3,train
1,634,Breast,3,train
1,281,Breast,3,train
3,2059,HeadNeck,7,train
1,1607,Bile-duct,1,test
2,1649,Colon,5,train
1,1363,Cervix,4,train
3,889,Kidney,8,train
1,2645,Colon,5,train
1,484,Breast,3,test
2,111,Breast,3,train
2,467,Breast,3,train
2,492,Breast,3,train
3,1403,Adrenal_gland,0,train
1,978,Esophagus,6,train
1,2640,Colon,5,train
2,2230,Prostate,13,train
1,920,Prostate,13,val
2,647,Breast,3,train
2,1715,Colon,5,train
3,208,Breast,3,train
2,449,Breast,3,train
2,1663,Colon,5,train
1,1109,Thyroid,17,train
2,124,Breast,3,train
2,1209,Bile-duct,1,train
1,1860,Colon,5,train
2,333,Breast,3,train
2,863,Ovarian,11,val
1,495,Breast,3,train
2,416,Breast,3,train
2,843,Kidney,8,train
3,154,Breast,3,train
1,2349,Pancreatic,12,train
1,2592,Colon,5,train
1,235,Breast,3,train
2,2082,Liver,9,train
1,102,Breast,3,train
2,900,Lung,10,train
3,952,Lung,10,train
3,1887,Colon,5,train
2,195,Breast,3,train
3,1791,Colon,5,train
2,505,Breast,3,train
2,978,Thyroid,17,train
1,2509,Stomach,15,train
3,2530,Uterus,18,val
1,1990,Colon,5,train
1,1675,Bladder,2,val
1,1573,Adrenal_gland,0,train
3,2495,Thyroid,17,train
3,1629,Breast,3,train
3,784,Colon,5,train
1,789,Colon,5,train
2,491,Breast,3,train
3,1550,Bile-duct,1,train
2,1325,Colon,5,train
2,114,Breast,3,train
1,818,Colon,5,train
3,2593,Uterus,18,train
3,1704,Colon,5,train
1,453,Breast,3,train
3,259,Breast,3,train
1,901,Breast,3,train
2,1203,Bile-duct,1,train
2,369,Breast,3,train
2,1371,Adrenal_gland,0,train
1,104,Breast,3,train
1,1094,Cervix,4,train
2,1871,HeadNeck,7,train
2,2068,Liver,9,val
2,1878,HeadNeck,7,train
3,1028,Cervix,4,train
2,1131,Pancreatic,12,train
1,74,Breast,3,train
3,1006,Uterus,18,train
1,2586,Uterus,18,train
1,1659,Bile-duct,1,train
1,1645,Bile-duct,1,train
1,2647,Colon,5,train
3,2015,HeadNeck,7,train
2,13,Breast,3,train
1,1636,Bile-duct,1,val
2,1959,HeadNeck,7,train
2,1317,Colon,5,train
2,711,Colon,5,train
1,48,Breast,3,train
2,1819,Esophagus,6,train
1,1308,Adrenal_gland,0,train
3,1864,Colon,5,train
1,1650,Bile-duct,1,train
2,1764,Colon,5,train
1,1813,Cervix,4,train
1,957,Kidney,8,train
3,191,Breast,3,train
1,2529,Testis,16,test
3,1578,Bladder,2,val
3,459,Breast,3,train
1,2491,Stomach,15,train
3,720,Colon,5,val
3,791,Colon,5,train
1,981,Esophagus,6,test
1,393,Breast,3,train
2,539,Breast,3,train
2,212,Breast,3,train
2,1385,Adrenal_gland,0,train
2,1536,Breast,3,train
3,404,Breast,3,train
2,2449,Colon,5,train
3,693,Breast,3,train
3,1187,Adrenal_gland,0,train
2,806,Kidney,8,train
3,1577,Bladder,2,train
3,2540,Uterus,18,train
3,608,Breast,3,train
3,2624,Uterus,18,train
2,2133,Ovarian,11,val
3,2525,Uterus,18,val
3,335,Breast,3,train
1,1101,Thyroid,17,train
2,579,Breast,3,train
2,199,Breast,3,train
2,807,Kidney,8,test
3,1854,Colon,5,train
1,543,Breast,3,train
1,2202,Liver,9,train
1,158,Breast,3,train
3,2378,Skin,14,train
3,1054,Esophagus,6,train
3,1424,Adrenal_gland,0,test
1,474,Breast,3,train
1,1757,Cervix,4,train
3,2100,HeadNeck,7,train
1,2454,Skin,14,train
1,712,Breast,3,train
2,71,Breast,3,train
1,2281,Ovarian,11,test
1,861,Colon,5,train
1,2607,Colon,5,train
3,1491,Bile-duct,1,train
1,1948,Colon,5,train
3,1123,Adrenal_gland,0,train
3,868,Prostate,13,test
1,1718,Breast,3,train
2,16,Breast,3,train
1,428,Breast,3,train
2,1119,Adrenal_gland,0,train
1,912,Kidney,8,val
1,1727,Breast,3,train
1,1958,Colon,5,train
1,485,Breast,3,train
1,801,Colon,5,train
2,976,Thyroid,17,test
3,2641,Colon,5,train
1,608,Breast,3,train
1,2452,Skin,14,val
1,1393,Bile-duct,1,train
2,1913,HeadNeck,7,train
2,2405,Thyroid,17,train
3,2447,Stomach,15,test
3,641,Breast,3,train
2,583,Breast,3,train
2,1677,Colon,5,train
1,1697,Breast,3,train
1,1354,Cervix,4,train
3,1546,Bile-duct,1,train
2,141,Breast,3,train
3,2554,Uterus,18,train
2,1716,Colon,5,train
3,1419,Adrenal_gland,0,train
2,745,Colon,5,train
2,411,Breast,3,train
3,1296,Testis,16,train
3,1396,Colon,5,train
1,799,Colon,5,train
2,1383,Adrenal_gland,0,train
2,334,Breast,3,train
2,1953,HeadNeck,7,train
3,94,Breast,3,train
2,399,Breast,3,train
3,467,Breast,3,train
3,139,Breast,3,train
1,480,Breast,3,train
3,653,Breast,3,train
3,1357,Colon,5,train
1,859,Colon,5,train
2,1187,Cervix,4,train
1,718,Breast,3,train
2,1094,Esophagus,6,train
1,828,Colon,5,test
2,603,Breast,3,train
3,2467,Testis,16,train
3,85,Breast,3,train
3,378,Breast,3,train
2,1709,Colon,5,train
1,92,Breast,3,train
3,2414,Stomach,15,train
3,1512,Bile-duct,1,train
3,2574,Uterus,18,train
3,1748,Colon,5,train
1,1163,Cervix,4,val
2,2188,Pancreatic,12,train
3,2269,Ovarian,11,train
2,1950,HeadNeck,7,train
3,1043,Esophagus,6,train
2,295,Breast,3,train
1,2172,Kidney,8,test
2,1557,Breast,3,train
2,1872,HeadNeck,7,train
1,646,Breast,3,train
3,171,Breast,3,val
3,1685,Cervix,4,train
2,1362,Adrenal_gland,0,val
1,1314,Adrenal_gland,0,train
2,318,Breast,3,train
1,1888,Colon,5,train
2,2138,Ovarian,11,val
3,2266,Ovarian,11,test
3,246,Breast,3,train
2,1535,Breast,3,train
3,2214,Liver,9,train
3,1416,Adrenal_gland,0,train
2,7,Breast,3,train
2,2028,Kidney,8,val
1,1593,Bile-duct,1,train
3,2106,HeadNeck,7,train
3,759,Colon,5,train
1,2089,Esophagus,6,train
1,400,Breast,3,train
3,1433,Adrenal_gland,0,train
1,2636,Colon,5,train
1,183,Breast,3,train
3,870,Prostate,13,train
3,73,Breast,3,train
1,2648,Colon,5,train
3,2594,Uterus,18,test
1,737,Breast,3,train
1,1580,Bile-duct,1,train
3,108,Breast,3,train
2,1099,Esophagus,6,val
3,2258,Lung,10,train
3,2507,Thyroid,17,train
1,87,Breast,3,train
2,2145,Ovarian,11,train
2,440,Breast,3,train
1,76,Breast,3,train
1,2290,Ovarian,11,train
2,1291,Bile-duct,1,train
1,401,Breast,3,train
2,215,Breast,3,train
3,506,Breast,3,train
2,780,Breast,3,train
2,1064,Adrenal_gland,0,train
3,2548,Uterus,18,train
3,1883,Colon,5,train
2,2254,Skin,14,train
1,178,Breast,3,train
2,1070,Adrenal_gland,0,val
1,2399,Prostate,13,train
1,2646,Colon,5,train
1,2583,Uterus,18,val
3,1166,Esophagus,6,train
1,1643,Bile-duct,1,train
3,2616,Uterus,18,val
3,751,Colon,5,train
1,2334,Pancreatic,12,train
3,2716,Colon,5,train
2,1568,Cervix,4,train
1,1970,Colon,5,train
3,2389,Skin,14,train
1,936,Prostate,13,val
3,1998,HeadNeck,7,val
2,1945,HeadNeck,7,train
1,1806,Cervix,4,val
3,1495,Bile-duct,1,train
1,1123,Esophagus,6,train
3,1206,Pancreatic,12,train
3,2628,Uterus,18,test
2,2426,Thyroid,17,val
3,2394,Skin,14,train
2,458,Breast,3,train
3,545,Breast,3,train
1,1445,Testis,16,train
1,1725,Breast,3,train
3,1475,Bile-duct,1,train
1,1114,Thyroid,17,test
3,515,Breast,3,train
2,1744,Colon,5,train
1,2261,Lung,10,test
1,184,Breast,3,train
3,1551,Bile-duct,1,train
3,1446,Adrenal_gland,0,test
1,813,Colon,5,train
2,1024,Cervix,4,val
2,2247,Skin,14,val
1,1739,Breast,3,train
1,2083,Esophagus,6,val
2,1978,HeadNeck,7,test
3,1069,Esophagus,6,train
3,2698,Colon,5,train
2,1545,Breast,3,train
2,2361,Testis,16,train
1,2127,HeadNeck,7,val
2,1861,HeadNeck,7,train
3,2238,Liver,9,test
1,847,Colon,5,train
1,1644,Bile-duct,1,train
3,188,Breast,3,train
3,1602,Bladder,2,val
1,2141,HeadNeck,7,train
1,1702,Breast,3,train
1,2626,Colon,5,val
3,728,Colon,5,train
3,1092,Cervix,4,train
2,1894,HeadNeck,7,test
3,306,Breast,3,train
1,2546,Thyroid,17,test
3,1801,Colon,5,train
1,1498,Colon,5,train
3,1244,Cervix,4,train
3,2011,HeadNeck,7,train
1,1347,Cervix,4,val
2,942,Thyroid,17,train
2,1869,HeadNeck,7,val
3,1819,Colon,5,train
1,1129,Esophagus,6,test
2,2441,Colon,5,train
3,525,Breast,3,train
1,2604,Colon,5,train
1,1276,Adrenal_gland,0,train
3,416,Breast,3,train
3,2016,HeadNeck,7,train
1,2140,HeadNeck,7,train
3,49,Breast,3,train
3,905,Esophagus,6,train
2,765,Colon,5,train
1,1994,Colon,5,train
3,1086,Cervix,4,train
2,2132,Ovarian,11,test
2,180,Breast,3,train
1,519,Breast,3,train
3,1749,Colon,5,train
3,1265,Bile-duct,1,train
3,2327,Pancreatic,12,train
3,2024,HeadNeck,7,train
2,1620,Colon,5,train
2,473,Breast,3,train
3,72,Breast,3,train
1,1564,Adrenal_gland,0,val
1,1186,Adrenal_gland,0,train
2,759,Colon,5,train
1,2371,Prostate,13,train
1,1604,Bile-duct,1,train
3,277,Breast,3,test
1,490,Breast,3,train
2,171,Breast,3,train
2,761,Colon,5,train
1,2225,Liver,9,test
2,1976,HeadNeck,7,val
2,1608,Colon,5,train
3,160,Breast,3,train
2,1898,HeadNeck,7,test
1,70,Breast,3,train
3,1150,Esophagus,6,train
1,2130,HeadNeck,7,train
1,2486,Stomach,15,test
2,1480,Bladder,2,train
3,39,Breast,3,train
2,1864,HeadNeck,7,train
3,1228,Cervix,4,train
1,1368,Cervix,4,val
1,1954,Colon,5,train
3,789,Colon,5,train
2,2004,HeadNeck,7,test
2,582,Breast,3,train
1,1043,Lung,10,val
2,1641,Colon,5,train
1,418,Breast,3,train
2,2090,Liver,9,train
1,1664,Bladder,2,val
2,1598,Colon,5,train
3,706,Colon,5,train
2,2341,Stomach,15,test
1,771,Colon,5,train
1,1179,Adrenal_gland,0,test
1,2264,Lung,10,train
3,286,Breast,3,train
2,1795,Colon,5,train
2,1158,Adrenal_gland,0,train
1,2457,Skin,14,test
3,1197,Adrenal_gland,0,train
3,1356,Colon,5,train
3,1943,Colon,5,train
2,519,Breast,3,train
1,140,Breast,3,train
2,337,Breast,3,train
1,355,Breast,3,train
1,1896,Colon,5,train
3,1696,Cervix,4,train
1,1295,Pancreatic,12,val
3,672,Breast,3,train
2,2364,Testis,16,test
3,2178,Liver,9,val
3,1300,Testis,16,train
1,985,Esophagus,6,train
1,1876,Colon,5,train
2,640,Breast,3,train
2,836,Kidney,8,train
2,1160,Adrenal_gland,0,train
2,619,Breast,3,train
1,337,Breast,3,train
1,481,Breast,3,train
1,1462,Bile-duct,1,train
1,79,Breast,3,train
1,1944,Colon,5,train
2,653,Breast,3,train
1,2466,Stomach,15,val
1,2157,HeadNeck,7,train
2,1013,Esophagus,6,val
3,1892,Colon,5,train
2,0,Breast,3,train
3,2432,Stomach,15,train
2,1932,HeadNeck,7,train
2,481,Breast,3,train
1,1686,Breast,3,train
1,1611,Bile-duct,1,test
1,1782,Cervix,4,train
3,1456,Adrenal_gland,0,test
3,1473,Bile-duct,1,test
3,916,Esophagus,6,train
1,1684,Breast,3,train
2,84,Breast,3,train
3,1646,Breast,3,train
3,1561,Bladder,2,val
3,2172,Liver,9,val
3,2274,Ovarian,11,train
1,2221,Liver,9,test
2,1678,Colon,5,train
3,1915,Colon,5,train
3,1891,Colon,5,train
1,2615,Colon,5,train
3,739,Colon,5,train
2,1019,Esophagus,6,train
1,620,Breast,3,train
2,1311,Colon,5,train
1,987,Esophagus,6,train
1,1706,Breast,3,train
1,2412,Prostate,13,train
3,1458,Adrenal_gland,0,train
2,108,Breast,3,train
2,2021,Kidney,8,train
3,1923,Colon,5,train
3,510,Breast,3,train
1,1902,Colon,5,train
2,1213,Testis,16,val
1,914,Kidney,8,test
1,609,Breast,3,train
1,1870,Colon,5,train
3,752,Colon,5,train
2,1521,Breast,3,train
1,1358,Cervix,4,train
1,465,Breast,3,test
3,1376,Colon,5,train
1,2104,HeadNeck,7,train
1,1207,Adrenal_gland,0,train
3,1947,Esophagus,6,train
1,623,Breast,3,train
2,2170,Pancreatic,12,train
1,1024,Pancreatic,12,train
2,2301,Skin,14,train
